,Common Name,Conservation status,Synonyms,Old latin name for bird,Order,Family,Genus,Breeding region,Breeding subregion,Link,Non breeding region
0,thickbilled-seedeater,LC - Least concern,"Thick-billed Seed-eater, Thick-billed Serin, Thick-billed Canary, Thick billed Seedeater","Strobilophaga burtoni, Serinus burtoni",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Crithagra,Africa,"c, ec",https://dibird.com/species/thickbilled-seedeater/,-
0,thickbilled-siskin,LC - Least concern,Thick billed Siskin,"Sporagra crassirostris, Chrysomitris crassirostris, Carduelis crassirostris",Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Spinus,South America,s,https://dibird.com/species/thickbilled-siskin/,-
0,thickbilled-spiderhunter,LC - Least concern,Thick billed Spiderhunter,Arachnocestra crassirostris,Perching Birds / Passeriformes,Sunbirds / Nectariniidae,Arachnothera,Oriental Region,"Malay Pen., Sumatra and Borneo",https://dibird.com/species/thickbilled-spiderhunter/,-
0,thickbilled-vireo,LC - Least concern,Thick-billed Vireo (Thick-billed),Laniovireo crassirostris,Perching Birds / Passeriformes,"Vireos, Greenlets, Shrike-babblers / Vireonidae",Vireo,North America,West Indies,https://dibird.com/species/thickbilled-vireo/,-
0,thickbilled-warbler,LC - Least concern,"Thick-billed Reed-Warbler, Thick-billed Reed Warbler, Thick-billed wabler","Iduna aedon, Phragmaticola aedon, Phragamaticola aedon, Muscicapa aã«don, Phragmaticola aëdon, Acrocephalus aedon, Acrocephapus aedon",Perching Birds / Passeriformes,Reed Warblers & Allies / Acrocephalidae,Arundinax,Eurasia,"nc, ne",https://dibird.com/species/thickbilled-warbler/,se Asia
0,thickbilled-weaver,LC - Least concern,"Thickbilled Weaver, Grosbeak Weaver, Grosbeak-Weaver, White-fronted Grosbeak",Pyrrhula albifrons,Perching Birds / Passeriformes,"Weavers, Widowbirds / Ploceidae",Amblyospiza,Africa,widespread,https://dibird.com/species/thickbilled-weaver/,-
0,thicket-antpitta,LC - Least concern,"Dives Antpitta, Pacific Antpitta, Fulvous-bellied Antpitta","Grallaria dives, Myrmothera dives",Perching Birds / Passeriformes,Antpittas / Grallariidae,Hylopezus,"South America, Middle America",e Honduras to w Colombia,https://dibird.com/species/thicket-antpitta/,-
0,thicket-tinamou,LC - Least concern,Rufescent Tinamou,Tinamus (nothura) cinnamomea,Tinamous / Tinamiformes,Tinamous / Tinamidae,Crypturellus,Middle America,wc Mexico to Costa Rica,https://dibird.com/species/thicket-tinamou/,-
0,thorntailed-rayadito,LC - Least concern,Thorn tailed Rayadito,Motacilla spinicauda,Perching Birds / Passeriformes,Ovenbirds / Furnariidae,Aphrastura,South America,"c, s Chile and sw Argentina",https://dibird.com/species/thorntailed-rayadito/,-
0,threebanded-courser,LC - Least concern,"Treble-banded Courser, Threebanded Courser, Three banded Courser, Seebohm's Courser, Heuglin's Courser","Hemerodromus cinctus, Cursorius cinctus",Shorebirds / Charadriiformes,"Coursers, Pratincoles / Glareolidae",Rhinoptilus,Africa,"e, se",https://dibird.com/species/threebanded-courser/,-
0,threebanded-plover,LC - Least concern,"Treble-banded Plover, Three-banded Sand-Plover, Treble-banded Sand-Plover, Threebanded Plover, Tri-collared Sand-Plover, Tri-collared Plover",,Shorebirds / Charadriiformes,Plovers / Charadriidae,Charadrius,Africa,"s, e",https://dibird.com/species/threebanded-plover/,-
0,threebanded-rosefinch,LC - Least concern,,,Perching Birds / Passeriformes,"Finches, Euphonias / Fringillidae",Carpodacus,Eurasia,w China,https://dibird.com/species/threebanded-rosefinch/,-
0,threebanded-warbler,LC - Least concern,Three banded Warbler,,Perching Birds / Passeriformes,New World Warblers / Parulidae,Basileuterus,South America,"Ecuador, Peru",https://dibird.com/species/threebanded-warbler/,-
0,threestreaked-tchagra,LC - Least concern,"Three streaked Tchagra, James's Tchagra, Three-streaked Bushshrike, Three-streaked Bush Shrike, Three-streaked Bush-Shrike",Telephonus jamesi,Perching Birds / Passeriformes,Bushshrikes / Malaconotidae,Tchagra,Africa,ne,https://dibird.com/species/threestreaked-tchagra/,-
0,threestriped-flycatcher,LC - Least concern,Three striped Flycatcher,"Conopias trivigata, M [uscicapa] trivirgata, Conopias trivirgata",Perching Birds / Passeriformes,"Tyrant Flycatchers, Calyptura / Tyrannidae",Conopias,South America,Amazonia and se SA,https://dibird.com/species/threestriped-flycatcher/,-
