,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,type specimen repository,body shape,diet includes,eats,mating system,native range includes,parental care,social system,foraging habitat,preys on,trophic guild,hearing range,bill length,tarsus length,temperature at range midpoint latitude,ecomorphological guild,body length,life span,litters per year,prenatal development duration,weight,body temperature,parasitized by,behavioral circadian rhythm,sensory system,number of public records in bold,has ectoparasite,host of,has pathogen,onset of fertility,genome size,mutualistic with,growth rate,tarsometatarsus + middle toe length,basal metabolic rate,used for,has endoparasite,visits flowers of,is vector for,clutch/brood/litter size,is eaten by,developmental mode,wing morphology,egg mass,has host
0,Veery,Animalia,Chordata,Aves,https://eol.org/pages/45510207,"Catharus fuscescens (Veery) is a species of birds in the family thrushes. They are found in The Nearctic, the palearctic, and The Neotropics. They are diurnal. They have parental care (pair provides care). They rely on flight to move around.",,The Nearctic,,,Canada,prairie,,flight,,Decreasing,,,,,,Sambucus nigra L. (Elder),,,,,terrestrial,,insectivore,,,,,,,10.1 years,,11 days,28.8 g,,,,,,,,,,,,0.48 /day,,,,,,,,,,,,
0,Vega gull,Animalia,Chordata,Aves,https://eol.org/pages/45509302,Larus vegae (Vega Gull) is a species of birds in the family Laridae. They rely on flight to move around.,tympanic middle ear,,,,Siberia,,20 dB,bipedal movement,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,nectonic,,,,,,,,,,,,,Avian coronavirus,,,,,,,,,,,,,,,,
0,Vegetarian finch,Animalia,Chordata,Aves,https://eol.org/pages/268977,Platyspiza crassirostris (Vegetarian Finch) is a species of birds in the family tanagers. They rely on flight to move around.,tympanic middle ear,,,,Ecuador,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,Opuntia galapageia Hensl. (Prickly pear),,,,,,,,5000 Hz,,,,,,,,,,,,,,,Brueelia interposita (Kellogg 1899),,,,,,,,,,,,,,,,,,
0,Velasquezs woodpecker,Animalia,Chordata,Aves,https://eol.org/pages/45509739,Melanerpes santacruzi (Velasquez's Woodpecker) is a species of birds in the family woodpeckers. They rely on flight to move around.,tympanic middle ear,,,,Mexico,,20 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Vella Lavella whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45518698,Zosterops vellalavella (Vella Lavella White Eye) is a species of birds in the family white-eyes. They are listed as near threatened by IUCN. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,,Solomon Islands Rain Forests,Solomon Islands,"subtropical,terrestrial",10 dB,flight,apatite,Unknown,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Velvet asity,Animalia,Chordata,Aves,https://eol.org/pages/918809,Philepitta castanea (Velvet Asity) is a species of birds in the family broadbills. They are found in Afrotropics. They are diurnal. They rely on flight to move around.,tympanic middle ear,Afrotropics,46.3 g,,Madagascar,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Velvet flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45518266,Myiagra hebetior (Velvet Flycatcher) is a species of birds in the family monarch flycatchers. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,21.5 g,New Britain-New Ireland Montane Rain Forests,South Pacific,subtropical,10 dB,flight,apatite,,corneal eyes,,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Velvet scoter,Animalia,Chordata,Aves,https://eol.org/pages/45513549,"Melanitta fusca (Velvet Scoter) is a species of birds in the family Anatidae. They are listed as vulnerable by IUCN. They are associated with freshwater habitat. They are found in the indo-malayan realm, The Nearctic, and the palearctic. They are diurnal. Individuals can grow to 99 cm. They have parental care (female provides care). They rely on flight and drag powered swimming to move around.",,the indo-malayan realm,,,Mexico,,,flight,,Decreasing,,,,,,,,,,,freshwater,,invertivore,,,,,nectonic,99 cm,21.4 years,1 /year,28 days,54.5 g,,,,,,,,,,,,,,,,,,,,,,,,
0,Velvety black tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513185,Knipolegus nigerrimus (Velvety Black Tyrant) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,21 g,,Brazil,"subtropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,Miconia (johnnyberry),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan bristle tyrant,Animalia,Chordata,Aves,https://eol.org/pages/45513050,Pogonotriccus venezuelanus (Venezuelan Bristle Tyrant) is a species of birds in the family tyrant flycatchers. They are listed as near threatened by IUCN. They rely on flight to move around.,otoliths,,,,Venezuela,"tropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan flowerpiercer,Animalia,Chordata,Aves,https://eol.org/pages/921766,Diglossa venezuelensis (Venezuelan Flowerpiercer) is a species of birds in the family tanagers. They are listed as endangered by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Cordillera La Costa Montane Forests,North Atlantic,"tropical,terrestrial",10 dB,flight,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan flycatcher,Animalia,Chordata,Aves,https://eol.org/pages/45513286,Myiarchus venezuelensis (Venezuelan Flycatcher) is a species of birds in the family tyrant flycatchers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,33 g,Maracaibo Dry Forests,Colombia,terrestrial,10 dB,flight,apatite,Stable,corneal eyes,,,,,Psychotria mapourioides DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan parakeet,Animalia,Chordata,Aves,https://eol.org/pages/1227607,Pyrrhura emma (Venezuelan Parakeet) is a species of birds in the family parrots. They are diurnal. They rely on flight to move around.,tympanic middle ear,,,,North Atlantic,terrestrial,20 dB,flight,apatite,Decreasing,corneal eyes,,NHMUK,,,,,,,,,,,5000 Hz,,,,,,,,,,,,diurnal,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan sylph,Animalia,Chordata,Aves,https://eol.org/pages/45512456,Aglaiocercus berlepschi (Venezuelan Sylph) is a species of birds in the family hummingbirds. They are listed as endangered by IUCN. They rely on flight to move around.,tympanic middle ear,,5.5 g,,Venezuela,"mountain,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,endangered,,,,,,,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Venezuelan troupial,Animalia,Chordata,Aves,https://eol.org/pages/45511147,Icterus icterus (Venezuelan Troupial) is a species of birds in the family New World blackbirds. They are native to The Neotropics. They are diurnal omnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,,The Neotropics,,,Brazil,savanna,,flight,,Stable,corneal eyes,,(UMMZ) - UMMZ Birds Collection {http://www.lsa.umich.edu/ummz/birds/},bilaterally symmetric,fruit,,monogamous,The Neotropics,provisioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
