,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing range,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,type specimen repository,preys on,behavioral circadian rhythm,eats,conservation status,life span,weight,body shape,foraging habitat,growth rate,litters per year,native range includes,prenatal development duration,trophic guild,diet includes,clutch/brood/litter size,bill length,ecomorphological guild,mating system,social system,tarsometatarsus + middle toe length,tarsus length,temperature at range midpoint latitude,parental care,host of,visits flowers of,parasitized by,has ectoparasite,pathogen of,has host,genome size,is vector for,sensory system,basal metabolic rate,body length,is eaten by,trophic level,has endoparasite,mutualistic with,visits,is killed by,initial mortality rate,motility,onset of fertility,egg mass,body temperature,used for,symbiont of,mortality rate doubling time,harvested in,number of public records in bold,parasite of
0,Campina thrush,Animalia,Chordata,Aves,https://eol.org/pages/58799865,Turdus arthuri (Campina Thrush) is a species of  in the family thrushes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campo flicker,Animalia,Chordata,Aves,https://eol.org/pages/1177472,Colaptes campestris (Campo Flicker) is a species of birds in the family woodpeckers. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,176 g,,South Atlantic,terrestrial,,20 dB,flight,apatite,Increasing,corneal eyes,"University Museum of Zoology, Cambridge",,,Coccocypselum hasslerianum Chodat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campo miner,Animalia,Chordata,Aves,https://eol.org/pages/284230,Geositta poeciloptera (Campo Miner) is a species of birds in the family ovenbirds. They are listed as vulnerable by IUCN. They rely on flight to move around.,tympanic middle ear,,19 g,,Brazil,"savanna,terrestrial",5000 Hz,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,vulnerable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Campo troupial,Animalia,Chordata,Aves,https://eol.org/pages/45513447,Icterus jamacaii (Campo Oriole) is a species of birds in the family New World blackbirds. They are native to The Neotropics. They are diurnal omnivores. They have parental care (female provides care and paternal care). They rely on flight to move around.,tympanic middle ear,The Neotropics,,,South Atlantic,scrubland,,,flight,,Stable,corneal eyes,,,,,,,,bilaterally symmetric,,,,The Neotropics,,,fruit,,,,monogamous,,,,,provisioning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canada goose,Animalia,Chordata,Aves,https://eol.org/pages/55550315,Canada goose coronavirus is a species of  in the family Coronaviridae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branta canadensis (Linnaeus 1758) (Canada goose),Branta canadensis (Linnaeus 1758) (Canada goose),,,,,,,,,,,,,,,,,,,,,,
0,Canada jay,Animalia,Chordata,Aves,https://eol.org/pages/45509958,Perisoreus canadensis (Canada Jay) is a species of birds in the family Corvidae. They are native to United States and The Nearctic. They rely on flight to move around.,,The Nearctic,,,United States,headwater,,,flight,,Decreasing,,,Pseudacris triseriata (Wied-Neuwied 1838) (Western Chorus Frog),,,,19.2 years,70.3 g,bilaterally symmetric,,,1 /year,United States,17 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canada warbler,Animalia,Chordata,Aves,https://eol.org/pages/45511123,Cardellina canadensis (Canada Warbler) is a species of birds in the family New World warblers. They are listed as threatened by COSEWIC. They rely on flight to move around.,tympanic middle ear,,,,United States,"mountain,terrestrial",,,bipedal movement,apatite,Decreasing,corneal eyes,,,,,threatened,,,,,,,,,insectivore,,4.5,,,,,,,,,,,,,,,1.49 pg,,,,,,,,,,,,,,,,,,,,,
0,Canary Islands chiffchaff,Animalia,Chordata,Aves,https://eol.org/pages/45513667,Phylloscopus canariensis (Canary Islands Chiffchaff) is a species of birds in the family Phylloscopidae. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,Portugal,"desert scrubland,terrestrial",5000 Hz,10 dB,bipedal movement,apatite,Increasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canary Islands oystercatcher,Animalia,Chordata,Aves,https://eol.org/pages/45518781,Haematopus meadewaldoi (Canary Islands Oystercatcher) is a species of birds in the family oystercatchers. This species is extinct. They are found in the palearctic. They rely on flight to move around.,otoliths,the palearctic,,Mediterranean Acacia-Argania Dry Woodlands And Succulent Thickets,,terrestrial,1000 Hz,20 dB,bipedal movement,apatite,,corneal eyes,,,,,extinct,,,,,,,,,,,,,nectonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Canary Islands stonechat,Animalia,Chordata,Aves,https://eol.org/pages/45513717,Saxicola dacotiae (Canary Islands Chat) is a species of birds in the family Old World flycatchers. They are listed as near threatened by IUCN. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,14.1 g,,Spain,"arid,terrestrial",,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
