,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,visual system,conservation status,hearing range,behavioral circadian rhythm,bill length,body shape,diet includes,mating system,native range includes,social system,tarsus length,temperature at range midpoint latitude,trophic guild,eats,foraging habitat,life span,litters per year,prenatal development duration,weight,genome size,has host,parasite of,visits flowers of,type specimen repository,ecomorphological guild,has ectoparasite,basal metabolic rate,trophic level,parental care,parasitized by,growth rate,egg mass,preys on,number of public records in bold,mutualistic with,middle toe length,invasive in,is killed by,body length,host of,onset of fertility,initial mortality rate,mortality rate doubling time,is eaten by,body temperature,sensory system,tarsometatarsus + middle toe length,has pathogen,motility,clutch/brood/litter size,is vector for,used for
0,Drab whistler,Animalia,Chordata,Aves,https://eol.org/pages/45516834,Pachycephala griseonota (Drab Whistler) is a species of birds in the family whistlers. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,26 g,Sulawesi Lowland Rain Forests,Indonesia,"tropical,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drakensberg prinia,Animalia,Chordata,Aves,https://eol.org/pages/45514524,Prinia hypoxantha (Drakensberg Prinia) is a species of birds in the family African warblers. They rely on flight to move around.,otoliths,,11.3 g,,Swaziland,freshwater habitat,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drakensberg rockjumper,Animalia,Chordata,Aves,https://eol.org/pages/45515255,Chaetops aurantius (Drakensberg Rockjumper) is a species of birds in the family Chaetopidae. They are listed as near threatened by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,55 g,,Lesotho,"alpine,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drakensberg siskin,Animalia,Chordata,Aves,https://eol.org/pages/45515729,Crithagra symonsi (Drakensberg Siskin) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,,Lesotho,"mountain,terrestrial",10 dB,bipedal movement,apatite,Stable,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Drongo fantail,Animalia,Chordata,Aves,https://eol.org/pages/45518674,Chaetorhynchus papuensis (Drongo Fantail) is a species of birds in the family Rhipiduridae. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,45 g,Vogelkop-Aru Lowland Rain Forests,Indonesia,terrestrial,10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Duchess lorikeet,Animalia,Chordata,Aves,https://eol.org/pages/45517947,Charmosyna margarethae (Duchess Lorikeet) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are found in australasia. They rely on flight to move around.,tympanic middle ear,australasia,55.7 g,,Solomon Islands,"subtropical,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dugands antwren,Animalia,Chordata,Aves,https://eol.org/pages/45512716,Herpsilochmus dugandi (Dugand's Antwren) is a species of birds in the family typical antbirds. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,11.3 g,Napo Moist Forests,Brazil,"subtropical,terrestrial",10 dB,bipedal movement,apatite,Decreasing,corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Duida grass finch,Animalia,Chordata,Aves,https://eol.org/pages/1050324,Emberizoides duidae (Duida Grass Finch) is a species of birds in the family tanagers. They are listed as near threatened by IUCN. They are found in The Neotropics. They rely on flight to move around.,tympanic middle ear,The Neotropics,,Tepuis,,"mountain,terrestrial",10 dB,flight,apatite,Stable,corneal eyes,near threatened,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Duida woodcreeper,Animalia,Chordata,Aves,https://eol.org/pages/44480389,Lepidocolaptes duidae (Duida Woodcreeper) is a species of birds in the family ovenbirds. They rely on flight to move around.,otoliths,,,,Ecuador,subtropical,10 dB,bipedal movement,apatite,,corneal eyes,,1000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Dulit frogmouth,Animalia,Chordata,Aves,https://eol.org/pages/45516352,Batrachostomus harterti (Dulit Frogmouth) is a species of birds in the family frogmouths. They are listed as near threatened by IUCN. They are found in the indo-malayan realm. They rely on flight to move around.,tympanic middle ear,the indo-malayan realm,,,Malaysia,"lower montane,terrestrial",20 dB,bipedal movement,apatite,Decreasing,corneal eyes,near threatened,,,,,,,,,,,,,,,,,,,,,,NHMUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
