,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,biogeographic realm,body mass,geographic distribution includes,habitat,hearing threshold,locomotion,mineralized skeleton contains,population trend,type specimen repository,visual system,eats,foraging habitat,life span,prenatal development duration,weight,ecoregion,conservation status,hearing range,body shape,diet includes,mating system,native range includes,parental care,social system,trophic guild,growth rate,litters per year,has host,parasitized by,body temperature,egg mass,preys on,clutch/brood/litter size,basal metabolic rate,ecomorphological guild,body length,behavioral circadian rhythm,visits flowers of,genome size,visits,mutualistic with,number of public records in bold,bill length,tarsometatarsus + middle toe length,temperature at range midpoint latitude,host of,tarsus length,trophic level,middle toe length,symbiont of,has endoparasite,plant growth form,has ectoparasite,onset of fertility,is vector for,harvested in,used for,sensory system,is killed by,is eaten by,produces,spore arrangement,motility
0,Laughing falcon,Animalia,Chordata,Aves,https://eol.org/pages/45512595,Herpetotheres cachinnans (Laughing Falcon) is a species of birds in the family falcons. They are listed in cites appendix ii. They are native to The Neotropics. They are diurnal carnivores. They have parental care (paternal care and female provides care). They rely on gliding and flight to move around.,,The Neotropics,,Nicaragua,arid,,gliding,,Decreasing,NHMUK,,,,,,,,,,bilaterally symmetric,mammals,,The Neotropics,protection,,vertivore,,,,,,,Serpentes (snakes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Laughing gull,Animalia,Chordata,Aves,https://eol.org/pages/45509282,Leucophaeus atricilla (Laughing Gull) is a species of birds in the family Laridae. They rely on flight to move around.,tympanic middle ear,,,United States,coastal,,flight,apatite,,,corneal eyes,Dyspanopeus texanus (Stimpson 1859) (Gulf grassflat crab),,22 years,24 days,30.1 g,,,,,,,,,,,,,,,,,Ophichthus gomesii (Castelnau 1855) (Pallid Snake Eel),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Laughing kookaburra,Animalia,Chordata,Aves,https://eol.org/pages/1049992,Dacelo novaeguineae (Kookaburra) is a species of birds in the family Alcedinidae. They are associated with freshwater habitat. They are native to Australia. They rely on flight to move around.,,australasia,,United States,lake,,flight,,Stable,,,CORRUPTED VALUE for trait R20-PK36788017,,26.8 years,25 days,305 g,,,,bilaterally symmetric,,,Australia,,,,,,,,,,Scincidae (skinks),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Laughing owl,Animalia,Chordata,Aves,https://eol.org/pages/45517863,Sceloglaux albifacies (Laughing Owl) is a species of birds in the family typical owls. This species is extinct. They rely on flight to move around.,tympanic middle ear,,600 g,New Zealand,terrestrial,-15 dB,flight,apatite,,NHMUK,corneal eyes,,,,,,,extinct,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lauras woodland warbler,Animalia,Chordata,Aves,https://eol.org/pages/45514441,Phylloscopus laurae (Laura's Woodland Warbler) is a species of birds in the family Phylloscopidae. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,9.5 g,Zambia,"subtropical,terrestrial",10 dB,flight,apatite,Stable,(CM) - CM Birds Collection {http://www.carnegiemnh.org/birds/index.html},corneal eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Laurel pigeon,Animalia,Chordata,Aves,https://eol.org/pages/45513602,Columba junoniae (Laurel Pigeon) is a species of birds in the family Columbidae. They are listed as near threatened by IUCN. They are found in the palearctic. They rely on flight to move around.,tympanic middle ear,the palearctic,,Spain,"mountain,terrestrial",20 dB,flight,apatite,Increasing,,corneal eyes,,,,,,Canary Islands Dry Woodlands And Forests,near threatened,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lava gull,Animalia,Chordata,Aves,https://eol.org/pages/51125047,Larus fuliginosus (Lava Gull) is a species of .,,,380 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lava heron,Animalia,Chordata,Aves,https://eol.org/pages/1048988,"Butorides sundevalli (Lava Heron) is a species of birds in the family Ardeidae. They are native to The Neotropics. They are solitary, diurnal carnivores. They have parental care (paternal care and female provides care). They rely on flight to move around.",,The Neotropics,,South Pacific,estuarine,,flight,,,,corneal eyes,,,,,,,,,bilaterally symmetric,reptiles,monogamous,The Neotropics,protection,solitary,invertivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lavender waxbill,Animalia,Chordata,Aves,https://eol.org/pages/45511020,Estrilda caerulescens (Lavender Waxbill) is a species of birds in the family Estrildid finches. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,Afrotropics,15.1 g,United States,subtropical,10 dB,flight,apatite,,,corneal eyes,,,,,,Sahelian Acacia Savanna,,5000 Hz,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Lawrences goldfinch,Animalia,Chordata,Aves,https://eol.org/pages/45510353,Spinus lawrencei (Lawrence's Goldfinch) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,,,United States,"coastal,terrestrial",10 dB,bipedal movement,apatite,Decreasing,,corneal eyes,Amsinckia (fiddleneck),,,,,,,5000 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
