,Common Name,Kingdom,Phylum,Class,Link,Description,auditory system,hearing range,hearing threshold,locomotion,mineralized skeleton contains,visual system,biogeographic realm,body mass,ecoregion,geographic distribution includes,habitat,population trend,conservation status,weight,eats,type specimen repository,ecomorphological guild,behavioral circadian rhythm,genome size,has ectoparasite,body shape,diet includes,foraging habitat,native range includes,parental care,social system,trophic guild,body length,life span,preys on,parasitized by,basal metabolic rate,prenatal development duration,mating system,visits flowers of,is eaten by,host of,preyed upon by,growth rate,litters per year,visits,sensory system,body temperature,bill length,tarsus length,temperature at range midpoint latitude,mutualistic with,number of public records in bold,onset of fertility,used for,clutch/brood/litter size,leaf arrangement,life cycle habit,developmental mode,wing morphology,middle toe length,symbiont of,motility,supporting structures and enclosures,initial mortality rate
0,Prigogines greenbul,Animalia,Chordata,Aves,https://eol.org/pages/45514355,Chlorocichla prigoginei (Prigogine's Greenbul) is a species of birds in the family bulbuls. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,,Albertine Rift Montane Forests,Democratic Republic Of The Congo,"subtropical,freshwater habitat",Decreasing,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Prigogines nightjar,Animalia,Chordata,Aves,https://eol.org/pages/45514036,Caprimulgus prigoginei (Prigogine's Nightjar) is a species of birds in the family Caprimulgidae. They are listed as endangered by IUCN. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,20 dB,flight,apatite,corneal eyes,Afrotropics,,Albertine Rift Montane Forests,Democratic Republic Of The Congo,"tropical,terrestrial",Decreasing,endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Princess parrot,Animalia,Chordata,Aves,https://eol.org/pages/45518028,Polytelis alexandrae (Alexandra's Parrot) is a species of birds in the family Psittaculidae. They are listed as near threatened by IUCN and in cites appendix ii. They are native to Australia. They are herbivores. They rely on flight to move around.,,,,flight,,,australasia,,,Australia,,Stable,,104 g,,,,,,,bilaterally symmetric,seeds,,Australia,no parental care,group living,granivore,,23.9 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe seedeater,Animalia,Chordata,Aves,https://eol.org/pages/1050689,Crithagra rufobrunnea (Principe Seedeater) is a species of birds in the family finches. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,Sao Tome And Principe,"tropical,terrestrial",Stable,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe speirops,Animalia,Chordata,Aves,https://eol.org/pages/45514643,Zosterops leucophaeus (Principe Speirops) is a species of birds in the family white-eyes. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,,,Sao Tome And Principe,"subtropical,terrestrial",Unknown,,,,,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Principe starling,Animalia,Chordata,Aves,https://eol.org/pages/1052500,Lamprotornis ornatus (Principe Glossy Starling) is a species of birds in the family starlings. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,130 g,Sao Tome Principe And Annobon Moist Lowland Forests,Sao Tome And Principe,"tropical,terrestrial",Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe sunbird,Animalia,Chordata,Aves,https://eol.org/pages/45514850,Anabathmis hartlaubii (Principe Sunbird) is a species of birds in the family Sunbirds. They rely on flight to move around.,otoliths,1000 Hz,10 dB,bipedal movement,apatite,corneal eyes,,10.5 g,,Sao Tome And Principe,terrestrial,Stable,,,,,,,,,,,,,,,,,,,Plasmodium subgen. Plasmodium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe thrush,Animalia,Chordata,Aves,https://eol.org/pages/10432433,Turdus xanthorhynchus (Principe Thrush) is a species of birds in the family thrushes. They are listed as critically endangered by IUCN. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,flight,apatite,corneal eyes,,,,Gulf Of Guinea,"subtropical,terrestrial",Decreasing,critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe weaver,Animalia,Chordata,Aves,https://eol.org/pages/45514961,Ploceus princeps (Principe Golden Weaver) is a species of birds in the family Weavers & allies. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,31.2 g,Sao Tome Principe And Annobon Moist Lowland Forests,Sao Tome And Principe,"subtropical,terrestrial",Increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Príncipe whiteeye,Animalia,Chordata,Aves,https://eol.org/pages/45514655,Zosterops ficedulinus (Principe White Eye) is a species of birds in the family white-eyes. They are found in Afrotropics. They rely on flight to move around.,tympanic middle ear,5000 Hz,10 dB,bipedal movement,apatite,corneal eyes,Afrotropics,,Sao Tome Principe And Annobon Moist Lowland Forests,Sao Tome And Principe,subtropical,,,,,Uebersee-Museum,,,,,,,,,,,,,,,Haemoproteus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
