,Name,Wikidata_link
0,Crested berrypecker,https://www.wikidata.org/wiki/Q1300780
0,Crested Black-tyrant,https://www.wikidata.org/wiki/Q1262539
0,Crested Bobwhite,https://www.wikidata.org/wiki/Q961494
0,Crested Bunting,https://www.wikidata.org/wiki/Q27076024
0,Crested Caracara,https://www.wikidata.org/wiki/Q755119
0,Crested Coua,https://www.wikidata.org/wiki/Q1272011
0,Crested Cuckoo-dove,https://www.wikidata.org/wiki/Q1259181
0,Crested Doradito,https://www.wikidata.org/wiki/Q908289
0,Crested Drongo,https://www.wikidata.org/wiki/Q855281
0,Crested Duck,
0,Crested Eagle,
0,Crested Finchbill,https://www.wikidata.org/wiki/Q2927921
0,Crested fireback,https://www.wikidata.org/wiki/Q840313
0,Crested Francolin,https://www.wikidata.org/wiki/Q27074564
0,Crested Gallito,https://www.wikidata.org/wiki/Q854849
0,Crested Goshawk,https://www.wikidata.org/wiki/Q795570
0,Crested Guan,https://www.wikidata.org/wiki/Q848140
0,Crested guineafowl,https://www.wikidata.org/wiki/Q854855
0,Crested honey buzzard,https://www.wikidata.org/wiki/Q605431
0,Crested Hornero,https://www.wikidata.org/wiki/Q927588
0,Crested ibis,https://www.wikidata.org/wiki/Q493173
0,Crested Jay,https://www.wikidata.org/wiki/Q766596
0,Crested Kingfisher,https://www.wikidata.org/wiki/Q371843
0,Crested Lark,https://www.wikidata.org/wiki/Q26982
0,Crested Malimbe,https://www.wikidata.org/wiki/Q917082
0,Crested Myna,https://www.wikidata.org/wiki/Q715819
0,Crested Oropendola,https://www.wikidata.org/wiki/Q906518
0,Crested Owl,https://www.wikidata.org/wiki/Q1259391
0,Crested Partridge,
0,Crested Pigeon,https://www.wikidata.org/wiki/Q167857
0,Crested Quail-dove,https://www.wikidata.org/wiki/Q676938
0,Crested Quetzal,https://www.wikidata.org/wiki/Q1262480
0,Crested satinbird,https://www.wikidata.org/wiki/Q941479
0,Crested Serpent-eagle,https://www.wikidata.org/wiki/Q431212
0,Crested Shelduck,https://www.wikidata.org/wiki/Q902924
0,Crested shriketit,https://www.wikidata.org/wiki/Q1304974
0,Crested Spinetail,
0,Crested Tit-warbler,https://www.wikidata.org/wiki/Q1591070
0,Crested Treeswift,https://www.wikidata.org/wiki/Q950441
0,Crested White-eye,https://www.wikidata.org/wiki/Q1302760
0,Crestless Curassow,https://www.wikidata.org/wiki/Q1264409
0,Crestless fireback,https://www.wikidata.org/wiki/Q899732
0,Cretzschmar's Bunting,https://www.wikidata.org/wiki/Q837753
0,Cricket Warbler,https://www.wikidata.org/wiki/Q2609351
0,Crimson Chat,https://www.wikidata.org/wiki/Q1059525
0,Crimson finch,https://www.wikidata.org/wiki/Q1087738
0,Crimson Fruitcrow,https://www.wikidata.org/wiki/Q431228
0,Crimson Rosella,https://www.wikidata.org/wiki/Q53731
0,Crimson Seedcracker,https://www.wikidata.org/wiki/Q686704
0,Crimson Shining-parrot,https://www.wikidata.org/wiki/Q1077916
0,Crimson Sunbird,https://www.wikidata.org/wiki/Q73760
0,Crimson Topaz,
0,Crimsonbacked flameback,
0,Crimson-backed Sunbird,https://www.wikidata.org/wiki/Q25665493
0,Crimson-backed Tanager,https://www.wikidata.org/wiki/Q684954
0,Crimsonbellied conure,
0,Crimson-bellied Parakeet,https://www.wikidata.org/wiki/Q1030321
0,Crimson-bellied Woodpecker,https://www.wikidata.org/wiki/Q1266262
0,Crimson-breasted Finch,https://www.wikidata.org/wiki/Q927834
0,Crimson-breasted Flowerpecker,https://www.wikidata.org/wiki/Q958706
0,Crimsonbreasted shrike,
0,Crimson-breasted Woodpecker,https://www.wikidata.org/wiki/Q1268038
0,Crimson-browed Finch,https://www.wikidata.org/wiki/Q27075752
0,Crimson-collared Grosbeak,
0,Crimson-collared Tanager,https://www.wikidata.org/wiki/Q1589936
0,Crimson-crested Woodpecker,https://www.wikidata.org/wiki/Q1269588
0,Crimson-crowned Flowerpecker,https://www.wikidata.org/wiki/Q1974598
0,Crimsoncrowned fruit dove,
0,Crimsonfronted barbet,
0,Crimson-fronted Cardinal,https://www.wikidata.org/wiki/Q2668137
0,Crimson-headed Partridge,https://www.wikidata.org/wiki/Q604442
0,Crimson-hooded Manakin,https://www.wikidata.org/wiki/Q595446
0,Crimson-hooded Myzomela,https://www.wikidata.org/wiki/Q3119568
0,Crimson-mantled Woodpecker,https://www.wikidata.org/wiki/Q1269530
0,Crimson-rumped Myzomela,https://www.wikidata.org/wiki/Q840071
0,Crimson-rumped Toucanet,https://www.wikidata.org/wiki/Q886520
0,Crimson-rumped Waxbill,https://www.wikidata.org/wiki/Q247966
0,Crimson-winged Woodpecker,https://www.wikidata.org/wiki/Q1269909
0,Crinkle-collared Manucode,https://www.wikidata.org/wiki/Q1590703
0,Crissal Thrasher,https://www.wikidata.org/wiki/Q2225821
0,Croaking Cisticola,https://www.wikidata.org/wiki/Q3726434
0,Croaking Ground-dove,https://www.wikidata.org/wiki/Q775383
0,Crossley's Ground-thrush,https://www.wikidata.org/wiki/Q749355
0,Crossley's Vanga,https://www.wikidata.org/wiki/Q2479842
0,Crow Honeyeater,https://www.wikidata.org/wiki/Q847145
0,Crow-billed Drongo,https://www.wikidata.org/wiki/Q1585929
0,Crowned Chat-tyrant,https://www.wikidata.org/wiki/Q27075172
0,Crowned Cormorant,https://www.wikidata.org/wiki/Q59472
0,Crowned Eagle,
0,Crowned Hornbill,
0,Crowned Lapwing,https://www.wikidata.org/wiki/Q369800
0,Crowned Sandgrouse,https://www.wikidata.org/wiki/Q127886
0,Crowned Slaty Flycatcher,https://www.wikidata.org/wiki/Q1272199
0,Crowned Woodnymph,https://www.wikidata.org/wiki/Q15707884
0,Crozet shag,
